event_id,anonymous_session_id,workflow_stage,event_type,timestamp_bucket,consent_status,portal_version,event_source,created_at
EVT-41ABA8ED6CBD,ANON-EE39-EDE4,Login,ENTERED,2026-08-31 04:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-31T04:44:00
EVT-3D6B641DB83B,ANON-EE39-EDE4,Login,COMPLETED,2026-08-31 04:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-31T04:44:12
EVT-8AA331F07237,ANON-EE39-EDE4,Start Claim,ENTERED,2026-08-31 04:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-31T04:44:12
EVT-E5555450A1B9,ANON-EE39-EDE4,Start Claim,COMPLETED,2026-08-31 04:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-31T04:44:47
EVT-03CF9231EE65,ANON-EE39-EDE4,Claim Type,ENTERED,2026-08-31 04:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-31T04:44:47
EVT-F37DBC3C9250,ANON-EE39-EDE4,Claim Type,COMPLETED,2026-08-31 04:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-31T04:45:10
EVT-0D8040EEDFEA,ANON-EE39-EDE4,Claim Details,ENTERED,2026-08-31 04:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-31T04:45:10
EVT-3647489734E2,ANON-EE39-EDE4,Claim Details,ABANDONED,2026-08-31 04:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-31T04:46:37
EVT-394C24C65014,ANON-124E-E691,Login,ENTERED,2026-08-30 06:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-30T06:20:00
EVT-F52E9A6F430A,ANON-124E-E691,Login,COMPLETED,2026-08-30 06:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-30T06:20:51
EVT-0119B717280B,ANON-124E-E691,Start Claim,ENTERED,2026-08-30 06:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-30T06:20:51
EVT-FC346B3F3D60,ANON-124E-E691,Start Claim,COMPLETED,2026-08-30 06:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-30T06:21:17
EVT-5A5B368C18A5,ANON-124E-E691,Claim Type,ENTERED,2026-08-30 06:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-30T06:21:17
EVT-20538A764D73,ANON-124E-E691,Claim Type,COMPLETED,2026-08-30 06:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-30T06:22:14
EVT-3F5A69A85999,ANON-124E-E691,Claim Details,ENTERED,2026-08-30 06:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-30T06:22:14
EVT-5CCCE3896FAD,ANON-124E-E691,Claim Details,COMPLETED,2026-08-30 06:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-30T06:22:40
EVT-5250546220C3,ANON-124E-E691,Document Upload,ENTERED,2026-08-30 06:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-30T06:22:40
EVT-D1978809A358,ANON-124E-E691,Document Upload,COMPLETED,2026-08-30 06:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-30T06:23:27
EVT-48CD9FDDCDC8,ANON-124E-E691,Review,ENTERED,2026-08-30 06:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-30T06:23:27
EVT-2DE4BFC9A39A,ANON-124E-E691,Review,COMPLETED,2026-08-30 06:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-30T06:23:51
EVT-220E1E00621A,ANON-124E-E691,Submit,ENTERED,2026-08-30 06:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-30T06:23:51
EVT-9A9A3F7ECA80,ANON-124E-E691,Submit,ABANDONED,2026-08-30 06:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-30T06:24:23
EVT-A4976FE8B7FD,ANON-C141-7788,Login,ENTERED,2026-08-25 09:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-25T09:55:00
EVT-F10843420B99,ANON-C141-7788,Login,COMPLETED,2026-08-25 09:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-25T09:55:34
EVT-E19194B72E17,ANON-C141-7788,Start Claim,ENTERED,2026-08-25 09:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-25T09:55:34
EVT-CB30DAD239CD,ANON-C141-7788,Start Claim,COMPLETED,2026-08-25 09:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-25T09:56:13
EVT-3D3C92056282,ANON-C141-7788,Claim Type,ENTERED,2026-08-25 09:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-25T09:56:13
EVT-C4FC5E83A0A7,ANON-C141-7788,Claim Type,COMPLETED,2026-08-25 09:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-25T09:56:58
EVT-FC9CB5B51C20,ANON-C141-7788,Claim Details,ENTERED,2026-08-25 09:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-25T09:56:58
EVT-9D02961AC6E0,ANON-C141-7788,Claim Details,COMPLETED,2026-08-25 09:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-25T09:57:08
EVT-A41C0DA8B540,ANON-C141-7788,Document Upload,ENTERED,2026-08-25 09:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-25T09:57:08
EVT-A40287325552,ANON-C141-7788,Document Upload,COMPLETED,2026-08-25 09:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-25T09:57:52
EVT-F9E9600F9A96,ANON-C141-7788,Review,ENTERED,2026-08-25 09:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-25T09:57:52
EVT-5ACF1557A895,ANON-C141-7788,Review,COMPLETED,2026-08-25 09:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-25T09:58:51
EVT-B6C785F5AD43,ANON-C141-7788,Submit,ENTERED,2026-08-25 09:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-25T09:58:51
EVT-037C3CDBF0FA,ANON-C141-7788,Submit,COMPLETED,2026-08-25 09:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-25T09:59:08
EVT-4662ACF9AAAC,ANON-C141-7788,Confirmation,ENTERED,2026-08-25 09:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-25T09:59:08
EVT-7DFB9A646304,ANON-C141-7788,Confirmation,COMPLETED,2026-08-25 09:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-25T09:59:28
EVT-4EC79790BF82,ANON-2108-21C9,Login,ENTERED,2026-08-25 07:00:00,UNKNOWN,v2.4-legacy-adapter,web_claims_portal,2026-08-25T07:16:00
EVT-419412F306D9,ANON-2108-21C9,Login,COMPLETED,2026-08-25 07:00:00,UNKNOWN,v2.4-legacy-adapter,web_claims_portal,2026-08-25T07:16:29
EVT-D46053A55D7A,ANON-2108-21C9,Start Claim,ENTERED,2026-08-25 07:00:00,UNKNOWN,v2.4-legacy-adapter,web_claims_portal,2026-08-25T07:16:29
EVT-BEAAF5FAA7AE,ANON-2108-21C9,Start Claim,COMPLETED,2026-08-25 07:00:00,UNKNOWN,v2.4-legacy-adapter,web_claims_portal,2026-08-25T07:17:11
EVT-8EBAAEF109A1,ANON-2108-21C9,Claim Type,ENTERED,2026-08-25 07:00:00,UNKNOWN,v2.4-legacy-adapter,web_claims_portal,2026-08-25T07:17:11
EVT-089FCF569F66,ANON-2108-21C9,Claim Type,COMPLETED,2026-08-25 07:00:00,UNKNOWN,v2.4-legacy-adapter,web_claims_portal,2026-08-25T07:17:30
EVT-D5559662CB03,ANON-2108-21C9,Claim Details,ENTERED,2026-08-25 07:00:00,UNKNOWN,v2.4-legacy-adapter,web_claims_portal,2026-08-25T07:17:30
EVT-AED83128F373,ANON-2108-21C9,Claim Details,COMPLETED,2026-08-25 07:00:00,UNKNOWN,v2.4-legacy-adapter,web_claims_portal,2026-08-25T07:17:50
EVT-09A7052B5E8D,ANON-2108-21C9,Document Upload,ENTERED,2026-08-25 07:00:00,UNKNOWN,v2.4-legacy-adapter,web_claims_portal,2026-08-25T07:17:50
EVT-6A856C411318,ANON-2108-21C9,Document Upload,ABANDONED,2026-08-25 07:00:00,UNKNOWN,v2.4-legacy-adapter,web_claims_portal,2026-08-25T07:19:12
EVT-EB80DC9D77EC,ANON-043F-6C7E,Login,ENTERED,2026-08-30 08:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-30T08:38:00
EVT-CD2BDEB1FA03,ANON-043F-6C7E,Login,COMPLETED,2026-08-30 08:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-30T08:38:29
EVT-F4D0D545E00B,ANON-043F-6C7E,Start Claim,ENTERED,2026-08-30 08:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-30T08:38:29
EVT-4A30692AC64B,ANON-043F-6C7E,Start Claim,COMPLETED,2026-08-30 08:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-30T08:38:54
EVT-AB400BCAC379,ANON-043F-6C7E,Claim Type,ENTERED,2026-08-30 08:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-30T08:38:54
EVT-97AE4F0F6257,ANON-043F-6C7E,Claim Type,COMPLETED,2026-08-30 08:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-30T08:39:09
EVT-A25D9E543C0C,ANON-043F-6C7E,Claim Details,ENTERED,2026-08-30 08:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-30T08:39:09
EVT-05F157707C2D,ANON-043F-6C7E,Claim Details,COMPLETED,2026-08-30 08:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-30T08:39:50
EVT-98F70092BCA3,ANON-043F-6C7E,Document Upload,ENTERED,2026-08-30 08:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-30T08:39:50
EVT-0BD4A5DE93AB,ANON-043F-6C7E,Document Upload,ABANDONED,2026-08-30 08:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-30T08:41:13
EVT-6ADBCCA0CD99,ANON-05FF-F08E,Login,ENTERED,2026-08-25 12:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-25T12:08:00
EVT-5DDBD13FA3F4,ANON-05FF-F08E,Login,COMPLETED,2026-08-25 12:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-25T12:08:48
EVT-FDD307B420E5,ANON-05FF-F08E,Start Claim,ENTERED,2026-08-25 12:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-25T12:08:48
EVT-CDA7072C3949,ANON-05FF-F08E,Start Claim,COMPLETED,2026-08-25 12:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-25T12:09:11
EVT-B3EC4E7EAE01,ANON-05FF-F08E,Claim Type,ENTERED,2026-08-25 12:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-25T12:09:11
EVT-5303C6E2EAC6,ANON-05FF-F08E,Claim Type,COMPLETED,2026-08-25 12:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-25T12:10:09
EVT-4EE1D6DA13A6,ANON-05FF-F08E,Claim Details,ENTERED,2026-08-25 12:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-25T12:10:09
EVT-8A3862EDEA29,ANON-05FF-F08E,Claim Details,COMPLETED,2026-08-25 12:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-25T12:10:31
EVT-D1B9BDB26536,ANON-05FF-F08E,Document Upload,ENTERED,2026-08-25 12:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-25T12:10:31
EVT-DA5BB03CC170,ANON-05FF-F08E,Document Upload,COMPLETED,2026-08-25 12:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-25T12:11:23
EVT-7466CA968C07,ANON-05FF-F08E,Review,ENTERED,2026-08-25 12:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-25T12:11:23
EVT-3F7034EAE376,ANON-05FF-F08E,Review,COMPLETED,2026-08-25 12:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-25T12:12:01
EVT-80A08695A1D5,ANON-05FF-F08E,Submit,ENTERED,2026-08-25 12:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-25T12:12:01
EVT-C7FE452E30A9,ANON-05FF-F08E,Submit,COMPLETED,2026-08-25 12:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-25T12:12:39
EVT-0FA35AD81792,ANON-05FF-F08E,Confirmation,ENTERED,2026-08-25 12:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-25T12:12:39
EVT-0E62D97BBD14,ANON-05FF-F08E,Confirmation,COMPLETED,2026-08-25 12:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-25T12:13:03
EVT-AB700659493F,ANON-FA75-019A,Login,ENTERED,2026-08-20 01:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-20T01:14:00
EVT-3D6F0F325BEA,ANON-FA75-019A,Login,COMPLETED,2026-08-20 01:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-20T01:14:13
EVT-9B7B0C1DDE25,ANON-FA75-019A,Start Claim,ENTERED,2026-08-20 01:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-20T01:14:13
EVT-E6B3DE9DA873,ANON-FA75-019A,Start Claim,COMPLETED,2026-08-20 01:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-20T01:14:25
EVT-083889C38FE8,ANON-FA75-019A,Claim Type,ENTERED,2026-08-20 01:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-20T01:14:25
EVT-CA45923583F3,ANON-FA75-019A,Claim Type,COMPLETED,2026-08-20 01:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-20T01:14:39
EVT-73E35D40F415,ANON-FA75-019A,Claim Details,ENTERED,2026-08-20 01:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-20T01:14:39
EVT-FD99C98B0C8B,ANON-FA75-019A,Claim Details,COMPLETED,2026-08-20 01:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-20T01:15:06
EVT-4214D9A1A962,ANON-FA75-019A,Document Upload,ENTERED,2026-08-20 01:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-20T01:15:06
EVT-940F4C5CEB94,ANON-FA75-019A,Document Upload,COMPLETED,2026-08-20 01:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-20T01:15:24
EVT-30D1E4AA1BFD,ANON-FA75-019A,Review,ENTERED,2026-08-20 01:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-20T01:15:24
EVT-BC371D35EC1B,ANON-FA75-019A,Review,COMPLETED,2026-08-20 01:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-20T01:16:10
EVT-F6EEC813FC35,ANON-FA75-019A,Submit,ENTERED,2026-08-20 01:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-20T01:16:10
EVT-0F10C86972C1,ANON-FA75-019A,Submit,COMPLETED,2026-08-20 01:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-20T01:16:35
EVT-410A4C50C482,ANON-FA75-019A,Confirmation,ENTERED,2026-08-20 01:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-20T01:16:35
EVT-DD6E1B62A91D,ANON-FA75-019A,Confirmation,COMPLETED,2026-08-20 01:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-20T01:17:11
EVT-100D7891D75E,ANON-D53A-C851,Login,ENTERED,2026-08-22 21:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-22T21:22:00
EVT-270A031ADA07,ANON-D53A-C851,Login,COMPLETED,2026-08-22 21:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-22T21:22:51
EVT-478DD83DE0AC,ANON-D53A-C851,Start Claim,ENTERED,2026-08-22 21:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-22T21:22:51
EVT-B7408722F5C9,ANON-D53A-C851,Start Claim,COMPLETED,2026-08-22 21:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-22T21:23:26
EVT-94469F8DF145,ANON-D53A-C851,Claim Type,ENTERED,2026-08-22 21:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-22T21:23:26
EVT-AF1FDECFDAF2,ANON-D53A-C851,Claim Type,COMPLETED,2026-08-22 21:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-22T21:23:42
EVT-3AA194E381C3,ANON-D53A-C851,Claim Details,ENTERED,2026-08-22 21:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-22T21:23:42
EVT-CBC381EF3C81,ANON-D53A-C851,Claim Details,COMPLETED,2026-08-22 21:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-22T21:24:04
EVT-EE2FD85B59FE,ANON-D53A-C851,Document Upload,ENTERED,2026-08-22 21:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-22T21:24:04
EVT-8AB7DFC4A407,ANON-D53A-C851,Document Upload,COMPLETED,2026-08-22 21:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-22T21:24:25
EVT-B7E2269FE7D1,ANON-D53A-C851,Review,ENTERED,2026-08-22 21:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-22T21:24:25
EVT-0CB6F2CCBDE2,ANON-D53A-C851,Review,COMPLETED,2026-08-22 21:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-22T21:24:50
EVT-AB5E5140C7F8,ANON-D53A-C851,Submit,ENTERED,2026-08-22 21:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-22T21:24:50
EVT-169133419E96,ANON-D53A-C851,Submit,COMPLETED,2026-08-22 21:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-22T21:25:04
EVT-FAD58EC718DE,ANON-D53A-C851,Confirmation,ENTERED,2026-08-22 21:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-22T21:25:04
EVT-CE4B099E99FD,ANON-D53A-C851,Confirmation,COMPLETED,2026-08-22 21:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-22T21:25:49
EVT-27D04FFAF796,ANON-FB7D-D958,Login,ENTERED,2026-08-18 08:00:00,NOT_CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-18T08:05:00
